,car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
0,JM2,BLK 682 JURONG WEST CENTRAL 1,13715.4817,36231.4554,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N
1,JM31,BLK 638A JURONG WEST ST 61,12894.0173,36018.9264,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2.15,N
2,J62M,BLK 901 JURONG WEST STREET 91,11666.8136,35782.3574,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.9,N
3,J63,BLK 909/911 JURONG WEST STREET 91,11654.2969,35993.1406,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
4,J67,BLK 962-966 JURONG WEST STREET 91,12357.588,35978.1413,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
5,J69,BLK 974/980 JURONG WEST STREET 93,12455.3311,35761.7852,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.0,N
6,J70,BLK 835/838 JURONG WEST STREET 81,12440.6748,36204.0469,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
7,J72,BLK 743/751 JURONG WEST STREET 73,12910.9012,36599.9072,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
8,J83M,BLK 865A JURONG WEST ST 81,12613.8496,36926.4932,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.0,N
9,J85M,BLK 859A JURONG WEST ST 81,12744.1045,36899.5648,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.0,N
