Date,Day,Name,Observance,Observance Strategy
2016-01-01,Friday,New Year's Day,2016-01-01,actual_day
2016-02-08,Monday,Chinese New Year Day 1,2016-02-08,actual_day
2016-02-09,Tuesday,Chinese New Year Day 2,2016-02-09,actual_day
2016-03-25,Friday,Good Friday,2016-03-25,actual_day
2016-05-01,Sunday,Labour Day,2016-05-01,next_monday
2016-05-21,Saturday,Vesak Day,2016-05-21,actual_day
2016-07-06,Wednesday,Hari Raya Puasa,2016-07-06,actual_day
2016-08-09,Tuesday,National Day,2016-08-09,actual_day
2016-09-12,Monday,Hari Raya Haji,2016-09-12,actual_day
2016-10-29,Saturday,Deepavali,2016-10-29,actual_day
2016-12-25,Sunday,Christmas Day,2016-12-26,next_monday
2017-01-01,Sunday,New Year's Day,2017-01-02,next_monday
2017-01-28,Saturday,Chinese New Year Day 1,2017-01-28,actual_day
2017-01-29,Sunday,Chinese New Year Day 2,2017-01-30,next_monday
2017-04-14,Friday,Good Friday,2017-04-14,actual_day
2017-05-01,Monday,Labour Day,2017-05-01,actual_day
2017-05-10,Wednesday,Vesak Day,2017-05-10,actual_day
2017-06-25,Sunday,Hari Raya Puasa,2017-06-26,next_monday
2017-08-09,Wednesday,National Day,2017-08-09,actual_day
2017-09-01,Friday,Hari Raya Haji,2017-09-01,actual_day
2017-10-18,Wednesday,Deepavali,2017-10-18,actual_day
2017-12-25,Monday,Christmas Day,2017-12-25,actual_day
2018-01-01,Monday,New Year's Day,2018-01-01,actual_day
2018-02-16,Friday,Chinese New Year Day 1,2018-02-16,actual_day
2018-02-17,Saturday,Chinese New Year Day 2,2018-02-17,actual_day
2018-03-30,Friday,Good Friday,2018-03-30,actual_day
2018-05-01,Tuesday,Labour Day,2018-05-01,actual_day
2018-05-29,Tuesday,Vesak Day,2018-05-29,actual_day
2018-06-15,Friday,Hari Raya Puasa,2018-06-15,actual_day
2018-08-09,Thursday,National Day,2018-08-09,actual_day
2018-08-22,Wednesday,Hari Raya Haji,2018-08-22,actual_day
2018-11-06,Tuesday,Deepavali,2018-11-06,actual_day
2018-12-25,Tuesday,Christmas Day,2018-12-25,actual_day
2019-01-01,Monday,New Year's Day,2019-01-01,actual_day
2019-02-05,Tuesday,Chinese New Year Day 1,2019-02-05,actual_day
2019-02-06,Wednesday,Chinese New Year Day 2,2019-02-06,actual_day
2019-04-19,Friday,Good Friday,2019-04-19,actual_day
2019-05-01,Wednesday,Labour Day,2019-05-01,actual_day
2019-05-19,Sunday,Vesak Day,2019-05-20,next_monday
2019-06-05,Wednesday,Hari Raya Puasa,2019-06-05,actual_day
2019-08-09,Friday,National Day,2019-08-09,actual_day
2019-08-11,Sunday,Hari Raya Haji,2019-08-12,next_monday
2019-10-27,Sunday,Deepavali,2019-10-28,next_monday
2019-12-25,Wednesday,Christmas Day,2019-12-25,actual_day
2020-01-01,Wednesday,New Year's Day,2020-01-01,actual_day
2020-01-25,Saturday,Chinese New Year Day 1,2020-01-25,actual_day
2020-01-26,Sunday,Chinese New Year Day 2,2020-01-27,next_monday
2020-04-10,Friday,Good Friday,2020-04-10,actual_day
2020-05-01,Friday,Labour Day,2020-05-01,actual_day
2020-05-07,Thursday,Vesak Day,2020-05-07,actual_day
2020-05-24,Sunday,Hari Raya Puasa,2020-05-25,next_monday
2020-07-10,Friday,Polling Day,2020-07-10,actual_day
2020-07-31,Friday,Hari Raya Haji,2020-07-31,actual_day
2020-08-09,Sunday,National Day,2020-08-10,next_monday
2020-11-14,Saturday,Deepavali,2020-11-14,actual_day
2020-12-25,Friday,Christmas Day,2020-12-25,actual_day
2021-01-01,Friday,New Year's Day,2021-01-01,actual_day
2021-02-12,Friday,Chinese New Year Day 1,2021-02-12,actual_day
2021-02-13,Saturday,Chinese New Year Day 2,2021-02-13,actual_day
2021-04-02,Friday,Good Friday,2021-04-02,actual_day
2021-05-01,Saturday,Labour Day,2021-05-01,actual_day
2021-05-13,Thursday,Hari Raya Puasa,2021-05-13,actual_day
2021-05-26,Wednesday,Vesak Day,2021-05-26,actual_day
2021-07-20,Tuesday,Hari Raya Haji,2021-07-20,actual_day
2021-08-09,Monday,National Day,2021-08-09,actual_day
2021-11-04,Thursday,Deepavali,2021-11-04,actual_day
2021-12-25,Saturday,Christmas Day,2021-12-25,actual_day
